sector-code,sector,sector-percentage,sector-vocabulary,iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
72010,Material Relief Assistance And Services,100,OECD Development Assistance Committee,SE-0-SE-6-5204028501-TCD-72010,2,12/08/14 12:00 AM,en,Sweden,SE-0,Government,UNHAS CAP 2011 Chad,Att uppdateras,2,,,2010-11-01,2012-12-28,World Food Programme,,,Sweden,SE-0,Government,Swedish International Development Cooperation Agency,SE-6,Government,World Food Programme,41140,Multilateral,TD,Chad,100,,,,1,110,10,C01,5,,1388464.635805,1541022.005794,0,0,0,0,0
,,,OECD Development Assistance Committee,EU-2-2012-299265,,01/06/15 12:00 AM,en,European Commission - Development and Cooperation-EuropeAid,EU,Other Public Sector,"DP N°1 PAG 
JUMHURIYAT TSHAD",Mise en oeuvre du PAG,2,2012-09-01,2013-08-31,2012-09-01,,PUBLIC SECTOR INSTITUTIONS,10000,,European Union Institutions,EU,Other Public Sector,European Development Fund,EU-2,Other Public Sector,Jumhuriyat Tshad,,,TD,Chad,,,,,1,110,10,C01,3,,2561462,1463186,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:CHD-14/A/65215/R/5660,1,09/10/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Emergency intervention to stabilise food security and livelihood among vulnerable returnees and rural communities in Fongoro Canton - Dar Sila Region,"SRP - Objectif stratégique n°3 :
 
Fournir aux personnes en situation d’urgence une assistance coordonnée et intégrée, nécessaire à leur survie.

Principle objective: 
To assist returnees and autochthon vulnerable communities in the bordering and undeveloped canton of Fongoro.

Specific  Objectives:
To ensure food security and resilience capability by strengthening agriculture productions and cash provision umbrella. 
INTERSOS first intervened in the Dar Sila Region in February 2004 to respond to the refugee emergency caused by the crisis in Darfur, in coordination with the UN High Commissioner for Refugees (UNHCR). From 2004 to 2011 progressively INTERSOS’ tasks grew: protection and primary relief, camp management and camp coordination, food distribution in collaboration with the World Food Program (WFP), NFI distribution, water and sanitation, education, and protection (GBV, children associated with armed groups and forces) as well as community services and assistance to vulnerable persons (elders, women, children et disabled persons). From 2010 at nowadays, the food security component of the projects implemented by INTERSOS grows significantly in the context of ECHO, EU-PSA and EU-PTSA programs.
",,2015-03-01,2015-11-30,,,,,,,,,,,,INTERSOS,,,TD,Chad,,,,,,,,,,,0,0,0,0,0,0,0
73010,Reconstruction Relief And Rehabilitation,,OECD Development Assistance Committee,41127-FTS:CHD-14/A/65215/R/5660,1,09/10/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Emergency intervention to stabilise food security and livelihood among vulnerable returnees and rural communities in Fongoro Canton - Dar Sila Region,"SRP - Objectif stratégique n°3 :
 
Fournir aux personnes en situation d’urgence une assistance coordonnée et intégrée, nécessaire à leur survie.

Principle objective: 
To assist returnees and autochthon vulnerable communities in the bordering and undeveloped canton of Fongoro.

Specific  Objectives:
To ensure food security and resilience capability by strengthening agriculture productions and cash provision umbrella. 
INTERSOS first intervened in the Dar Sila Region in February 2004 to respond to the refugee emergency caused by the crisis in Darfur, in coordination with the UN High Commissioner for Refugees (UNHCR). From 2004 to 2011 progressively INTERSOS’ tasks grew: protection and primary relief, camp management and camp coordination, food distribution in collaboration with the World Food Program (WFP), NFI distribution, water and sanitation, education, and protection (GBV, children associated with armed groups and forces) as well as community services and assistance to vulnerable persons (elders, women, children et disabled persons). From 2010 at nowadays, the food security component of the projects implemented by INTERSOS grows significantly in the context of ECHO, EU-PSA and EU-PTSA programs.
",,2015-03-01,2015-11-30,,,,,,,,,,,,INTERSOS,,,TD,Chad,,,,,,,,,,,0,0,0,0,0,0,0
15110,Economic And Development Policy/Planning,,OECD Development Assistance Committee,EU-2-2014-348409,,01/06/15 12:00 AM,en,European Commission - Development and Cooperation-EuropeAid,EU,Other Public Sector,Contribution communautaire à lEtat civil et à la gestion communale dans le Mandoul,,2,2014-08-27,2017-01-26,2014-08-27,,PUBLIC SECTOR INSTITUTIONS,10000,,European Union Institutions,EU,Other Public Sector,European Development Fund,EU-2,Other Public Sector,,,,TD,Chad,,,,,1,110,10,C01,3,,799837,408286,0,0,0,0,0
31220,Forestry Development,,OECD Development Assistance Committee,50/2010-BIL-EELL-28047,,10/20/11 12:00 AM,es,Spain,50,Government,REFORESTACIÓN Y PRODUCCIÓN GOMA ARÁBIGA Y KARITE,"FOMENTAR LA PLANTACIÓN EN TERRENOS COMUNITARIOS DE ARBOLES PROPIOS DE LA ZONA, COMO EL KARITE,LA GOMA ARABIGA Y ARBOLES FRUTALES,CUYA PRODUCCIÓN Y VENTA SERA UNA FUENTE DE INGRESOS ESTABLE PARA LA POBLACIÓN",2,,2013-01-01,2010-01-01,,,,,Spain,50,Government,Santoña,16,Other Public Sector,AMIGOS PARA EL DESARROLLO EN EL AFRICA NEGRA (ADANE),ESP-260,National NGO,TD,Chad,,289,"South of Sahara, regional",,1,110,10,C01,5,EUR,5000,5000,0,0,0,0,0
12220,Basic Health Care,,OECD Development Assistance Committee,DE-1-201375112,1,09/25/14 12:00 AM,de,BMZ,DE-1,Government,"Stärkung der Basisgesundheitsarbeit mit Schwerpunkt auf HIV/AIDS, Mutter-und Kindgesundheit","Promoting basic health work with focus on HIV/AIDS, women's and children's health",2,,,2013-10-31,,,,,DE,DE,Government,DE-1 BMZ,,,Evangelische Zentralstelle für Entwicklungshilfe e.V.,,,TD,Chad,,289,"South of Sahara, regional",,3,,,,,EUR,110000,101600,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:178944,1,03/16/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Humanitarian assistance,Humanitarian assistance,,2012-01-08,,,,,,,Switzerland,,,,,,International Committee of the Red Cross,,,TD,Chad,,,,,,,,,,,544070,0,0,0,0,0,0
72010,Material Relief Assistance And Services,,OECD Development Assistance Committee,41127-FTS:178944,1,03/16/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Humanitarian assistance,Humanitarian assistance,,2012-01-08,,,,,,,Switzerland,,,,,,International Committee of the Red Cross,,,TD,Chad,,,,,,,,,,,544070,0,0,0,0,0,0
15210,Security System Management And Reform,,OECD Development Assistance Committee,EU-2-2013-328368,,01/06/15 12:00 AM,en,European Commission - Development and Cooperation-EuropeAid,EU,Other Public Sector,DEVIS-PROGRAMME N°02/PAFSI/2013,Deuxième devis-programme de croisière du volet 2 du PAFSI,2,2013-11-01,2015-04-30,2013-11-01,,PUBLIC SECTOR INSTITUTIONS,10000,,European Union Institutions,EU,Other Public Sector,European Development Fund,EU-2,Other Public Sector,Jumhuriyat Tshad,,,TD,Chad,,,,,1,110,10,C01,5,,1035156,689028,0,0,0,0,0
,,100,OECD Development Assistance Committee,EU-4-ECHO/TCD/BUD/2014/91004,,12/09/14 12:00 AM,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,Emergency humanitarian aid to crisis-affected populations in Chad,Emergency humanitarian aid to crisis-affected populations in Chad,,2014-03-03,,2014-01-01,2014-12-31,,,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,,,,Artsen Zonder Grenzen (NL),,Other Public Sector,TD,Chad,,,,,3,,10,,5,EUR,0,1700000,0,0,0,0,0
15110,Economic And Development Policy/Planning,,OECD Development Assistance Committee,EU-2-2014-352383,,01/06/15 12:00 AM,en,European Commission - Development and Cooperation-EuropeAid,EU,Other Public Sector,"Appui à la réalisation dune enquête sur la perception de laction de la justice par la population  
",,1,,,,,PUBLIC SECTOR INSTITUTIONS,10000,,European Union Institutions,EU,Other Public Sector,European Development Fund,EU-2,Other Public Sector,,,,TD,Chad,,,,,1,110,10,D02,5,,19900,0,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:178568,1,03/07/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,"Nutrition, therapeutic & supplementary feeding, medicare, sanitation (VN05 321.50 TCD 02/12)","Nutrition, therapeutic & supplementary feeding, medicare, sanitation (VN05 321.50 TCD 02/12)",,2012-01-08,,,,,,,Germany,,,,,,International Committee of the Red Cross,,,TD,Chad,,,,,,,,,,,655308,0,0,0,0,0,0
72010,Material Relief Assistance And Services,,OECD Development Assistance Committee,41127-FTS:178568,1,03/07/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,"Nutrition, therapeutic & supplementary feeding, medicare, sanitation (VN05 321.50 TCD 02/12)","Nutrition, therapeutic & supplementary feeding, medicare, sanitation (VN05 321.50 TCD 02/12)",,2012-01-08,,,,,,,Germany,,,,,,International Committee of the Red Cross,,,TD,Chad,,,,,,,,,,,655308,0,0,0,0,0,0
16010,Social/ Welfare Services,,OECD Development Assistance Committee,XM-DAC-701-8-2012218904,,06/30/14 12:00 AM,en,Japan International Cooperation Agency (JICA),XM-DAC-701-8,Government,TC AGGREGATED ACTIVITIES,TC AGGREGATED ACTIVITIES,2,2012-01-01,2012-12-31,,,,,,Japan,XM-DAC-701,Government,,XM-DAC-701-8,Government,Recipient Government,,,TD,Chad,,,,,,,,,,JPY,4439521.518,4398000,0,0,0,0,0
15162,Human Rights,100,OECD Development Assistance Committee,SE-0-SE-6-7400092601-TCD-15162,2,12/07/14 12:00 AM,en,Sweden,SE-0,Government,"SMR ram, syd 2000","Aktiviteten ""SMR ram, syd 2000"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,2000-01-01,2002-05-28,Svenska Missionsrådet,,,Sweden,SE-0,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,TD,Chad,100,,,,1,110,10,C01,,,16545.859441,16663.495906,0,0,0,0,0
15210,Security System Management And Reform,,OECD Development Assistance Committee,EU-2-2011-268517,,01/06/15 12:00 AM,en,European Commission - Development and Cooperation-EuropeAid,EU,Other Public Sector,Assistance technique en appui au PAFSI (volet 2),"Assistance technique principale (3 experts) et secondaire en appui à la Police Nationale, à la Gendarmerie Nationale et à la Garde Nationale et Nomade du Tchad",2,,2015-01-28,2011-11-21,,OTHER,50000,,European Union Institutions,EU,Other Public Sector,European Development Fund,EU-2,Other Public Sector,,,,TD,Chad,,,,,1,110,10,C01,,,1817225,0,1441625,0,0,0,0
14030,Basic Drinking Water Supply And Basic Sanitation,,OECD Development Assistance Committee,EU-2-2011-276222,,01/06/15 12:00 AM,en,European Commission - Development and Cooperation-EuropeAid,EU,Other Public Sector,Maitrise duvre déléguée du projet «Accès à leau potable et Assainissement 10ème FED »: lot N°2 (Zone sud),"Recrutement d'une maîtrise d'oeuvre déléguée pour la mise en oeuvre du Programme d'Accès à l'Eau Potable et d'Assainissement du 10ème FED dans régions du Mandoul, du Moyen Chari et du Salamat (''zone sud'').",2,2011-12-07,2016-12-06,2011-12-07,,PUBLIC SECTOR INSTITUTIONS,10000,,European Union Institutions,EU,Other Public Sector,European Development Fund,EU-2,Other Public Sector,,,,TD,Chad,,,,,1,110,10,C01,3,,6143483,0,3950339,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:CHD-14/WS/65333/6458,1,09/10/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,"Amélioration des conditions d’hygiène, d’assainissement et de l’accès à l’eau des populations les plus vulnérables à l'insalubrité et aux maladies hydriques.","Amélioration des conditions d’hygiène, d’assainissement et de l’accès à l’eau dans la bande sahélienne et de la prévention des épidémies . ",,2014-01-01,2014-10-31,,,,,,United States of America,,Government,,,,Agency for Technical Cooperation and Development,,,TD,Chad,,,,,,,,,,,850897,0,0,0,0,0,0
72010,Material Relief Assistance And Services,,OECD Development Assistance Committee,41127-FTS:CHD-14/WS/65333/6458,1,09/10/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,"Amélioration des conditions d’hygiène, d’assainissement et de l’accès à l’eau des populations les plus vulnérables à l'insalubrité et aux maladies hydriques.","Amélioration des conditions d’hygiène, d’assainissement et de l’accès à l’eau dans la bande sahélienne et de la prévention des épidémies . ",,2014-01-01,2014-10-31,,,,,,United States of America,,Government,,,,Agency for Technical Cooperation and Development,,,TD,Chad,,,,,,,,,,,850897,0,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:219585,1,10/22/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Provision of food assistance to conflict-affected people  (EMOP 200672),Provision of food assistance to conflict-affected people  (EMOP 200672),,2014-01-08,,,,,,,Austria,,,,,,World Food Programme,,,TD,Chad,,,,,,,,,,,0,162311,0,0,0,0,0
72040,Emergency Food Aid,,OECD Development Assistance Committee,41127-FTS:219585,1,10/22/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Provision of food assistance to conflict-affected people  (EMOP 200672),Provision of food assistance to conflict-affected people  (EMOP 200672),,2014-01-08,,,,,,,Austria,,,,,,World Food Programme,,,TD,Chad,,,,,,,,,,,0,162311,0,0,0,0,0
15110,Economic And Development Policy/Planning,,OECD Development Assistance Committee,EU-2-2014-337139,,01/06/15 12:00 AM,en,European Commission - Development and Cooperation-EuropeAid,EU,Other Public Sector,Identification et formulation d'un appui à l'ordonnateur national du FED 11ème FED,,2,2014-02-17,2014-06-22,2014-02-17,,PUBLIC SECTOR INSTITUTIONS,10000,,European Union Institutions,EU,Other Public Sector,European Development Fund,EU-2,Other Public Sector,EDF,42003,,TD,Chad,,,,,1,110,10,C01,3,,130020,0,130020,0,0,0,0
99810,Sectors Not Specified,,OECD Development Assistance Committee,41114-OUTPUT-00058964,2,12/07/14 12:00 AM,fr,United Nations Development Programme,41114,Multilateral,Projet CERF/under funded crisi,,,,,,,,,,BUREAU FOR CRISIS PREVENTION A,10166,,,,,,,,TD,Chad,,,,,4,110,10,C01,5,USD,336926,0,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:CHD-13/P-HR-RL/56151/6217,1,06/21/13 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Protection de l’enfant : prevention des violences contre les enfants et reinsertion des ex-EAFGAs dans l’est du Tchad,"	
L'objectif de ce projet est de protéger les enfants des Régions du Ouaddai (Abéché) et du Dar Tama en consolidant les actions de prévention de la violation de leurs droits en mettant en avant leur recrutement dans les forces et groupes armée et les risques auxquelles sont exposées les filles lors des conflits armées. Une attention est aussi accordée à la réinsertion des ex-EAFGA . Il s'agit, de manière spécifique, de consolider et d'appuyer les structures et réseaux communautaires de prévention du recrutement des enfants vulnérables dans les forces et groupes armées et de rapportage des cas de violations des droits  de l'enfant dans l’Ouaddai et le Dar Tama. Ces structure seront utilisées pour conscientiser les communautés sur la protection de la jeune fille. Il s'agit par ailleurs de consolider la réinsertion durable des ex-EAFGAs et autres enfants vulnérables et /ou à risques dans le Dar Tama et le Ouaddaï à travers la formation aux métiers au sein du CFAI (Centre de Formation et d’Apprentissage Interprofessionnel) et l'éducation formelle",,2013-01-01,2013-12-31,,,,,,,,,,,,Jesuit Refugee Service,,,TD,Chad,,,,,,,,,,,0,0,0,0,0,0,0
72050,Relief Co-Ordination; Protection And Support Services,,OECD Development Assistance Committee,41127-FTS:CHD-13/P-HR-RL/56151/6217,1,06/21/13 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Protection de l’enfant : prevention des violences contre les enfants et reinsertion des ex-EAFGAs dans l’est du Tchad,"	
L'objectif de ce projet est de protéger les enfants des Régions du Ouaddai (Abéché) et du Dar Tama en consolidant les actions de prévention de la violation de leurs droits en mettant en avant leur recrutement dans les forces et groupes armée et les risques auxquelles sont exposées les filles lors des conflits armées. Une attention est aussi accordée à la réinsertion des ex-EAFGA . Il s'agit, de manière spécifique, de consolider et d'appuyer les structures et réseaux communautaires de prévention du recrutement des enfants vulnérables dans les forces et groupes armées et de rapportage des cas de violations des droits  de l'enfant dans l’Ouaddai et le Dar Tama. Ces structure seront utilisées pour conscientiser les communautés sur la protection de la jeune fille. Il s'agit par ailleurs de consolider la réinsertion durable des ex-EAFGAs et autres enfants vulnérables et /ou à risques dans le Dar Tama et le Ouaddaï à travers la formation aux métiers au sein du CFAI (Centre de Formation et d’Apprentissage Interprofessionnel) et l'éducation formelle",,2013-01-01,2013-12-31,,,,,,,,,,,,Jesuit Refugee Service,,,TD,Chad,,,,,,,,,,,0,0,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:CHD-13/P-HR-RL/56115/R/298,1,11/15/13 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Humanitarian Assistance to flood affected population ,To support the efforts of the Government of Chad to prevent a widening of the humanitarian crisis by strengthening capacities of local authorities to manage the crisis.,,2012-12-01,2013-12-31,,,,,,Germany,,Government,,,,International Organization for Migration,,Multilateral,TD,Chad,,,,,,,,,,,0,688705,0,0,0,0,0
72050,Relief Co-Ordination; Protection And Support Services,,OECD Development Assistance Committee,41127-FTS:CHD-13/P-HR-RL/56115/R/298,1,11/15/13 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Humanitarian Assistance to flood affected population ,To support the efforts of the Government of Chad to prevent a widening of the humanitarian crisis by strengthening capacities of local authorities to manage the crisis.,,2012-12-01,2013-12-31,,,,,,Germany,,Government,,,,International Organization for Migration,,Multilateral,TD,Chad,,,,,,,,,,,0,688705,0,0,0,0,0
72010,Material Relief Assistance And Services,,OECD Development Assistance Committee,50/2010-MBI-AGE-22216,,10/20/11 12:00 AM,es,Spain,50,Government,ASISTENCIA HUMANITARIA A REFUGIADOS SUDANESES EN EL ESTE DE CHAD,"Disminuir tanto la tasa de mortalidad como la de morbilidad en los campos de refugiados de Oure Cassoni y Bredjing, con el objetivo de reducir al  mismo tiempo, la incidencia y prevalencia de la desnutrición severa en la población infantil menor de cinco años.
",2,,2011-01-01,2010-01-01,,,,,Spain,50,Government,MAEC - Ministerio de Asuntos Exteriores y de Cooperación,5,Government,NNUU ACNUR - Oficina del Alto Comisionado de las Naciones Unidas para los Refugiados,41121,Multilateral,TD,Chad,,289,"South of Sahara, regional",,1,110,10,B03,5,EUR,600000,600000,0,0,0,0,0
13010,Population Policy And Administrative Management,,OECD Development Assistance Committee,41122-Chad-0810/DM/01/001/001,1,12/02/14 12:00 AM,en,UNICEF,41122,Multilateral,CHAD- COUNTRY PROGRAMME  2006-2011,;CHAD- COUNTRY PROGRAMME  2006-2011,2,2014-12-18,2014-12-18,2014-12-18,2014-12-18,,,,Rotary International,,Foundation,,,,,,,TD,Chad,100,998,"Bilateral, unspecified",100,4,110,10,B03,5,USD,1505449,0,7642759,0,0,0,0
14030,Basic Drinking Water Supply And Basic Sanitation,2,OECD Development Assistance Committee,41122-Chad-0810/DM/01/001/001,1,12/02/14 12:00 AM,en,UNICEF,41122,Multilateral,CHAD- COUNTRY PROGRAMME  2006-2011,;CHAD- COUNTRY PROGRAMME  2006-2011,2,2014-12-18,2014-12-18,2014-12-18,2014-12-18,,,,Rotary International,,Foundation,,,,,,,TD,Chad,100,998,"Bilateral, unspecified",100,4,110,10,B03,5,USD,1505449,0,7642759,0,0,0,0
15130,Legal And Judicial Development,,OECD Development Assistance Committee,41122-Chad-0810/DM/01/001/001,1,12/02/14 12:00 AM,en,UNICEF,41122,Multilateral,CHAD- COUNTRY PROGRAMME  2006-2011,;CHAD- COUNTRY PROGRAMME  2006-2011,2,2014-12-18,2014-12-18,2014-12-18,2014-12-18,,,,Rotary International,,Foundation,,,,,,,TD,Chad,100,998,"Bilateral, unspecified",100,4,110,10,B03,5,USD,1505449,0,7642759,0,0,0,0
13040,Std Control Including Hiv/Aids,1,OECD Development Assistance Committee,41122-Chad-0810/DM/01/001/001,1,12/02/14 12:00 AM,en,UNICEF,41122,Multilateral,CHAD- COUNTRY PROGRAMME  2006-2011,;CHAD- COUNTRY PROGRAMME  2006-2011,2,2014-12-18,2014-12-18,2014-12-18,2014-12-18,,,,Rotary International,,Foundation,,,,,,,TD,Chad,100,998,"Bilateral, unspecified",100,4,110,10,B03,5,USD,1505449,0,7642759,0,0,0,0
