AMP ID,Objective,Organizations and Project ID,Project Description,Project Title,Status,Actual Completion Date,Actual Start Date,Original Completion Date,Proposed Start Date,Country,District,Implementation Level,Region,Zone,Donor Agency,Donor Group,Donor Type,Financing Instrument,Funding Organization Id,Funding Status,Type Of Assistance,Primary Sector,Primary Sector Sub-Sector,Primary Sector Sub-Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Secondary Sector Sub-Sub-Sector,Responsible Organization,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,Proposed Project Amount,2005 Actual Commitments,2005 Actual Disbursements,2005 Planned Commitments,2005 Planned Disbursements,2006 Actual Commitments,2006 Actual Disbursements,2006 Planned Commitments,2006 Planned Disbursements,2007 Actual Commitments,2007 Actual Disbursements,2007 Planned Commitments,2007 Planned Disbursements,2008 Actual Commitments,2008 Actual Disbursements,2008 Planned Commitments,2008 Planned Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2009 Planned Commitments,2009 Planned Disbursements,2010 Actual Commitments,2010 Actual Disbursements,2010 Planned Commitments,2010 Planned Disbursements,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Commitments,2011 Planned Disbursements,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Commitments,2012 Planned Disbursements,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Commitments,2013 Planned Disbursements,2014 Actual Commitments,2014 Actual Disbursements,2014 Planned Commitments,2014 Planned Disbursements,2015 Actual Commitments,2015 Actual Disbursements,2015 Planned Commitments,2015 Planned Disbursements,Actual Commitments,Actual Disbursements,Planned Commitments,Planned Disbursements
  87283385, ,CTD 1148 (Agence Française de Développement), ,Fonds d'Expertise et de Renforcement des Capacités n° 5 (FERC 5 - secteur Elevage),Ongoing,,15/01/2012,31/12/2014,15/01/2012,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR PRIMAIRE,"AGRICULTURE, SYLVICULTURE ET PECHE",1012 - Elevage,300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,31163 - Bétail,Finances et Budget,Axe 1: Développement de l’offre de production et des opportunités d’emplois décent,Axe 1: Développement de l’offre de production et des opportunités d’emplois décent,1.1 Développement du secteur rural et sécurité alimentaire,1.1.3 Productions animales,524800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524800,0,0,0,0,0,0,0,0,193993.325,0,0,0,0,0,132150.273,524800,193993.325,0,132150.273
  872833276, ,, ,Santé,Ongoing,,,,01/01/2014,Chad, ,National, , ,Ministère des Affaires Étrangères et du Développement International,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,SANTE ET ACTION SOCIALE,Activités de santé humaine et d'action sociale,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"121 - Santé, général", ,Santé Publique,"Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales",2.2 Santé,2.2.1 Santé,2500508.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500508.366,1750355.856,0,780238.506,0,0,0,2359826.316,2500508.366,1750355.856,0,3140064.822
  872833277, ,, ,Aide alimentaire et humanitaire,Ongoing,,,,01/01/2014,Chad, ,National, , ,Ministère des Affaires Étrangères et du Développement International,France,Bilatéral," - Aides, Dons & Subventions
 - Assistance Technique", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,SANTE ET ACTION SOCIALE,Activités de santé humaine et d'action sociale,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,122 - Santé de base,12240 - Nutrition de base, ,"Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales",2.3 Nutrition,2.3.1 Nutrition,2263051.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2284829.68,1595025.222,0,651127.487,0,0,0,1887861.053,2284829.68,1595025.222,0,2538988.54
  872833278, ,, ,Gouvernance locale,Ongoing,,,,01/01/2014,Chad, ,National, , ,Ministère des Affaires Étrangères et du Développement International,France,Bilatéral," - Aides, Dons & Subventions
 - Assistance Technique", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,ACTIVITES D'ADMINISTRATION PUBLIQUE,Activités d'administration publique,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"151 - Gouvernement et société civile, général",15110 - Politiques publiques et gestion administrative,"Aménagement Territoire, de l'Urbanisme et de l'Habitat",Axe 4: Amélioration de la gouvernance,Axe 4: Amélioration de la gouvernance,4.2 Renforcement de la décentralisation / déconcentration,4.2.1 Renforcement de la décentralisation / déconcentration,564579.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564579.642,359521.686,0,213282.116,0,0,0,528601.094,564579.642,359521.686,0,741883.21
  872833279, ,, ,Gouvernance financière,Ongoing,,,,01/01/2014,Chad, ,National, , ,Ministère des Affaires Étrangères et du Développement International,France,Bilatéral," - Aides, Dons & Subventions
 - Assistance Technique", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,ACTIVITES D'ADMINISTRATION PUBLIQUE,Activités d'administration publique,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"151 - Gouvernement et société civile, général",15110 - Politiques publiques et gestion administrative,Finances et Budget,Axe 4: Amélioration de la gouvernance,Axe 4: Amélioration de la gouvernance,4.1 Modernisation de l'État et réforme de la fonction publique,4.1.1 Modernisation de l’État et reforme de la fonction publique,655092.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655092.01,387196.278,0,278640.094,0,0,0,604115.537,655092.01,387196.278,0,882755.631
  872833280, ,, ,Appui à la Justice,Ongoing,,,,01/01/2014,Chad, ,National, , ,Ministère des Affaires Étrangères et du Développement International,France,Bilatéral," - Aides, Dons & Subventions
 - Assistance Technique", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,ACTIVITES D'ADMINISTRATION PUBLIQUE,Activités d'administration publique,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"151 - Gouvernement et société civile, général",15130 - Développement des services légaux et judiciaires,"Justice, Garde des Sceaux",Axe 4: Amélioration de la gouvernance,Axe 4: Amélioration de la gouvernance,"4.4 Poursuite de la réforme de la justice, de l'assainissement et des mesures de bonne gouvernance","4.4.1 Poursuite de la reforme de la justice, de l’assainissement et des mesures de bonne gouvernance",283687.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283687.003,162896.838,0,125634.637,0,0,0,188786.105,283687.003,162896.838,0,314420.742
  872833284, ,CTD 1177 (Agence Française de Développement), ,Facilité éducation (FACEDU),Planned,,,30/06/2020,04/01/2016,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement en Négociation,Don,SECTEUR QUATERNAIRE,EDUCATION,Education,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,110 - Education,"111 - Education, niveau non specifie",Education Nationale,"Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales",2.1 Éducation,"2.1.1 Enseignement primaire, moyen, secondaire général, technique et professionnel",6192184.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6823098.685,0,0,0,0,0,0,0,6823098.685,0
  872833285, ,CZZ 1548 (Agence Française de Développement), ,"Convention programme sur la scolarisation des exclus (Mozambique, Tchad, Guinee Bissau, Brésil)",Ongoing,,04/01/2011,29/12/2015,04/01/2011,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,EDUCATION,Education,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,112 - Éducation de base,11230 - Éducation pour une meilleure qualité de vie pour les jeunes et les adultes, ,"Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","2.5 Protection sociale, promotion de l'équité et de l'égalité du genre","2.5.1 Protection sociale, promotion de l’équité et de l’égalité du genre", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312000,0,0,0,0,0,0,0,0,0,0,0,0,208021.301,0,62771.38,0,0,0,0,1312000,208021.301,0,62771.38
  872833287, ,, ,Sécurité alimentaire,Ongoing,,02/01/2012,31/12/2015,02/01/2012,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,AUTRES ACTIVITES DE SERVICES AUX MENAGES,Activités de services personnels et collectifs,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,122 - Santé de base,12240 - Nutrition de base, ,"Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales",2.3 Nutrition,2.3.1 Nutrition,830237.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830237.536,0,0,0,0,0,0,0,0,104010.65,0,99850.224,0,0,0,169907.494,830237.536,104010.65,0,269757.718
  872833288, ,CTD 1149 (Agence Française de Développement), ,"Amélioration de l'accès à l'eau potable et à l'assainissement de base, ainsi que des pratiques d'hygiène pour les populations rurales des régions du Logone occidental et du Mandoul - Tchad",Ongoing,,09/01/2012,15/09/2016,09/01/2012,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,AUTRES ACTIVITES DE SERVICES AUX MENAGES,Activités de services personnels et collectifs,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,140 - EAU ET ASSAINISSEMENT,14030 - Approvisionnement en eau potable et assainissement - dispositifs de base, ,"Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","2.4 Eau potable, hygiène et assainissement",2.4.3 Hygiène et assainissement,416870.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416870.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416870.943,0,0,0
  872833290, ,CTD 1171 (Agence Française de Développement), ,Accès à l'information et renforcement des capacités des Acteurs Non Etatiques (ANE) et Autorités Locales (AL) pour une implication effective et proactive dans la gestion des budgets publics et communaux ainsi que l'exploitation,Ongoing,,06/01/2014,28/11/2017,06/01/2014,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,AUTRES ACTIVITES DE SERVICES AUX MENAGES,Activités de services personnels et collectifs,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,113 - Éducation secondaire,11330 - Formation professionnelle, ,Axe 4: Amélioration de la gouvernance,Axe 4: Amélioration de la gouvernance,"4.3 Promotion des droits humains, de la paix et de la cohésion sociale","4.3.1 Promotion des droits humains, de la paix et de la cohésion sociale",1311914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311914,200000,0,203860.875,0,0,0,0,1311914,200000,0,203860.875
  872833292, ,CZZ 1994 (Agence Française de Développement), ,"Convention programme Grandir Phase 3 : De l'enfant au jeune adulte : grandir et vivre avec le VIH (Burkina Faso, Bénin, Mali, Togo, Côte d'Ivoire, Tchad, Cameroun, République du Congo, République Démocratique du Congo, Burundi,",Ongoing,,15/05/2014,31/12/2018,15/05/2014,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,SANTE ET ACTION SOCIALE,Activités de santé humaine et d'action sociale,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,160 - INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS,16064 - Atténuation de l’impact social du VIH/sida, ,"Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales",2.2 Santé,2.2.1 Santé,453236.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453236.364,100000,0,52005.325,0,0,0,0,453236.364,100000,0,52005.325
  872833294, ,CZZ 1997 (Agence Française de Développement), ,"Convention Programme - Le développement local, pour renforcer les collectivités locales et leur gouvernance Phase 2 (Bénin, RDC, Comores, Haïti, Tchad) - Phase II",Ongoing,,15/06/2014,30/11/2018,15/06/2014,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,ACTIVITES D'ADMINISTRATION PUBLIQUE,Activités d'administration publique,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"151 - Gouvernement et société civile, général", , ,Axe 4: Amélioration de la gouvernance,Axe 4: Amélioration de la gouvernance,"4.3 Promotion des droits humains, de la paix et de la cohésion sociale","4.3.1 Promotion des droits humains, de la paix et de la cohésion sociale",999076.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999076.318,124812.78,0,124812.78,0,0,0,0,999076.318,124812.78,0,124812.78
  872833295, ,CZZ 1786 (Agence Française de Développement), ,"Convention-programme : Ensemble, les paysans du Sud et du Nord relèvent le défi alimentaire (Bénin, Burkina Faso, Cambodge, Cameroun, Côte d’Ivoire, Guinée, Madagascar, Mali, Sénégal, Togo, Tchad)",Ongoing,,13/11/2012,14/11/2016,13/11/2012,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR SECONDAIRE,"FABRICATION DE PRODUITS ALIMENTAIRES, DE BOISSONS, ET DE TABAC",Fabrication de produits à base de céréales,300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,31161 - Production agricole, ,Axe 1: Développement de l’offre de production et des opportunités d’emplois décent,Axe 1: Développement de l’offre de production et des opportunités d’emplois décent,1.1 Développement du secteur rural et sécurité alimentaire,1.1.2 Productions végétales,4278028.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278028.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278028.234,0,0,0
